,Country,Start Year,Total Death Heat Wave,Total Death Cold Wave + Severe Winter Conditions,Total Death Country Year,Pct Death Heat Wave,Pct Death Cold Wave + Severe Winter Conditions
418,Mozambique,2021,0.0,0.0,11.0,0.0,0.0
419,Mozambique,2022,0.0,0.0,203.0,0.0,0.0
420,Mozambique,2023,0.0,0.0,338.0,0.0,0.0
421,Mozambique,2024,0.0,0.0,284.0,0.0,0.0
422,Myanmar,2020,0.0,0.0,174.0,0.0,0.0
423,Myanmar,2021,0.0,0.0,12.0,0.0,0.0
424,Myanmar,2022,0.0,0.0,43.0,0.0,0.0
425,Myanmar,2023,0.0,0.0,252.0,0.0,0.0
426,Myanmar,2024,50.0,0.0,510.0,9.803921568627452,0.0
427,Namibia,2020,0.0,0.0,0.0,0.0,0.0
428,Namibia,2021,0.0,0.0,0.0,0.0,0.0
