,Country,ISO,Year,Population,Magnitude,Total_Heat_Deaths,Percentage_Heat_Deaths,Total_Cold_Deaths,Percentage_Cold_Deaths,Total_Deaths
68,Denmark,DNK,2022,5903037.0,35.9,252.0,0.4242638517096823,0.0,0.0,59397.0
69,Egypt,EGY,2000,73083284.0,2.0,0.0,0.0,3.0,0.0006496487565722799,461788.0
70,Egypt,EGY,2015,99597342.0,47.0,110.0,0.018984501743122432,0.0,0.0,579420.0
71,Finland,FIN,2022,5556106.0,32.5,225.0,0.3571145147210539,0.0,0.0,63005.0
72,France,FRA,2003,62249855.0,43.0,19490.0,3.510705941901329,0.0,0.0,555159.0
73,France,FRA,2006,63622342.0,37.0,1388.0,0.26641688484187737,0.0,0.0,520988.0
74,France,FRA,2009,64706436.0,-24.0,0.0,0.0,2.0,0.00036769166847448406,543934.0
75,France,FRA,2015,66548272.0,40.0,3275.0,0.5547744481899954,0.0,0.0,590330.0
76,France,FRA,2018,67158348.0,38.0,0.0,0.0,0.0,0.0,604984.0
77,France,FRA,2019,67382061.0,43.6,868.0,0.14255495263496734,0.0,0.0,608888.0
78,France,FRA,2019,67382061.0,46.0,567.0,0.09312057389864803,0.0,0.0,608888.0
79,France,FRA,2022,68065015.0,42.0,4807.0,0.7296588802992102,0.0,0.0,658801.0
80,France,FRA,2023,68287487.0,42.8,2734.0,0.4437620111151509,0.0,0.0,616096.0
81,Germany,DEU,2006,82376451.0,-20.0,0.0,0.0,0.0,0.0,825844.0
82,Germany,DEU,2009,81902307.0,-33.6,0.0,0.0,14.0,0.001626567895267617,860708.0
83,Germany,DEU,2009,81902307.0,-26.0,0.0,0.0,1.0,0.00011618342109054406,860708.0
84,Germany,DEU,2018,82905782.0,38.0,0.0,0.0,0.0,0.0,961486.0
85,Germany,DEU,2019,83092962.0,38.6,4.0,0.0004225439894702038,0.0,0.0,946647.0
86,Germany,DEU,2019,83092962.0,41.5,0.0,0.0,0.0,0.0,946647.0
87,Germany,DEU,2022,83797985.0,40.3,8173.0,0.7548309457598598,0.0,0.0,1082759.0
88,Greece,GRC,2000,10805808.0,44.4,27.0,0.02572212483804588,0.0,0.0,104968.0
89,Greece,GRC,2007,11048473.0,46.0,16.0,0.014410519679365937,0.0,0.0,111030.0
90,Greece,GRC,2022,10436882.0,42.1,3092.0,2.1101624934313343,0.0,0.0,146529.0
91,Greece,GRC,2023,10405588.0,44.2,4339.0,3.4161050576305345,0.0,0.0,127016.0
92,Hungary,HUN,2001,10187576.0,-20.0,0.0,0.0,81.0,0.06165932083399941,131367.0
93,Hungary,HUN,2007,10055780.0,41.9,500.0,0.378254883270543,0.0,0.0,132186.0
94,Hungary,HUN,2022,9605074.0,41.9,513.0,0.3832820298257673,0.0,0.0,133844.0
95,India,IND,2001,1077898575.0,-22.0,0.0,0.0,125.0,0.001367132045706396,9143228.0
96,India,IND,2002,1097600380.0,5.0,0.0,0.0,900.0,0.009886255336930173,9103548.0
97,India,IND,2002,1097600380.0,50.0,1030.0,0.011314269996708976,0.0,0.0,9103548.0
98,India,IND,2003,1116803006.0,49.0,1210.0,0.013334113544274601,0.0,0.0,9074469.0
99,India,IND,2005,1154676322.0,2.0,0.0,0.0,0.0,0.0,9027961.0
100,India,IND,2005,1154676322.0,49.0,329.0,0.0036442337311824897,0.0,0.0,9027961.0
101,India,IND,2007,1190676021.0,1.9,0.0,0.0,47.0,0.0005238112326972333,8972698.0
102,India,IND,2007,1190676021.0,44.9,72.0,0.0008024342288127829,0.0,0.0,8972698.0
103,India,IND,2008,1207930964.0,4.0,0.0,0.0,70.0,0.000782044787928446,8950894.0
104,India,IND,2009,1225524753.0,48.0,120.0,0.0013431322291294042,0.0,0.0,8934340.0
105,India,IND,2010,1243481564.0,-9.0,0.0,0.0,100.0,0.0011225107062264883,8908601.0
106,India,IND,2010,1243481564.0,49.0,250.0,0.0028062767655662206,0.0,0.0,8908601.0
107,India,IND,2011,1261224954.0,-20.2,0.0,0.0,80.0,0.0008999489616445127,8889393.0
108,India,IND,2011,1261224954.0,0.0,0.0,0.0,132.0,0.001484915786713446,8889393.0
